1.0000e-01 7.3826e+06 1.1523e+05
2.7500e-01 6.9828e+06 6.7234e+04
4.5500e-01 5.9841e+06 4.8913e+04
6.3500e-01 4.8254e+06 3.7470e+04
8.1500e-01 3.5888e+06 2.8935e+04
1.0850e+00 1.9664e+06 1.9293e+04
1.3600e+00 7.9368e+05 1.2470e+04
1.6350e+00 2.3164e+05 8.4330e+03
1.9050e+00 5.4871e+04 6.7742e+03
2.1600e+00 4.7126e+04 6.3223e+03
2.4150e+00 7.0939e+04 6.0989e+03
2.6650e+00 6.6910e+04 5.8192e+03
2.9200e+00 5.9497e+04 5.4860e+03
3.0250e+00 4.7613e+04 5.3535e+03
3.1250e+00 3.9743e+04 5.2360e+03
3.2300e+00 4.5453e+04 5.1239e+03
3.3350e+00 3.1157e+04 5.0239e+03
