1.0000e-01 8.8197e+06 1.4303e+05
2.6500e-01 8.3372e+06 8.5093e+04
4.3500e-01 7.1806e+06 6.2376e+04
6.0500e-01 5.8402e+06 4.8264e+04
7.7500e-01 4.4324e+06 3.7918e+04
1.0250e+00 2.5029e+06 2.6800e+04
1.2800e+00 1.2072e+06 1.9238e+04
1.5350e+00 4.9335e+05 1.4713e+04
1.7850e+00 2.1027e+05 1.2322e+04
2.0000e+00 8.3977e+04 1.1169e+04
2.2150e+00 4.4008e+04 1.0420e+04
2.4250e+00 3.5053e+04 9.8919e+03
2.6400e+00 2.6776e+04 9.4729e+03
2.8000e+00 3.4739e+04 9.2092e+03
2.9600e+00 3.5961e+04 8.9684e+03
3.1200e+00 6.8436e+04 8.7404e+03
3.2800e+00 2.7581e+04 8.5217e+03
