1.0000e-01 8.9437e+06 1.4756e+05
2.6500e-01 8.2250e+06 8.7676e+04
4.3500e-01 7.0972e+06 6.4159e+04
6.0500e-01 5.6562e+06 4.9628e+04
7.7500e-01 4.1596e+06 3.9154e+04
1.0250e+00 2.2251e+06 2.8342e+04
1.2800e+00 1.1096e+06 2.1487e+04
1.5350e+00 5.5913e+05 1.7576e+04
1.7850e+00 2.9615e+05 1.5351e+04
2.0000e+00 1.3342e+05 1.4062e+04
2.2150e+00 7.3870e+04 1.3103e+04
2.4250e+00 7.2051e+04 1.2402e+04
2.6400e+00 3.0294e+04 1.1862e+04
2.8000e+00 5.1310e+04 1.1532e+04
2.9600e+00 5.4991e+04 1.1235e+04
3.1200e+00 5.6959e+04 1.0954e+04
3.2800e+00 7.1163e+04 1.0683e+04
