1.0000e-01 -1.2400e+05 2.9059e+05
2.6500e-01 1.1220e+05 1.7277e+05
4.3500e-01 8.3400e+04 1.2654e+05
6.0500e-01 1.8400e+05 9.7892e+04
7.7500e-01 2.7280e+05 7.7072e+04
1.0250e+00 2.7780e+05 5.5142e+04
1.2800e+00 9.7600e+04 4.0725e+04
1.5350e+00 -6.5780e+04 3.2289e+04
1.7850e+00 -8.5880e+04 2.7673e+04
2.0000e+00 -4.9443e+04 2.5231e+04
2.2150e+00 -2.9862e+04 2.3523e+04
2.4250e+00 -3.6998e+04 2.2294e+04
2.6400e+00 -3.5180e+03 2.1335e+04
2.8000e+00 -1.6571e+04 2.0741e+04
2.9600e+00 -1.9030e+04 2.0203e+04
3.1200e+00 1.1477e+04 1.9694e+04
3.2800e+00 -4.3582e+04 1.9205e+04
