1.0000e-01 7.3815e+06 1.2839e+05
2.7500e-01 6.6404e+06 7.4759e+04
4.5500e-01 5.5059e+06 5.4304e+04
6.3500e-01 4.1739e+06 4.1801e+04
8.1500e-01 2.8954e+06 3.2976e+04
1.0850e+00 1.3490e+06 2.4192e+04
1.3600e+00 5.8835e+05 1.9240e+04
1.6350e+00 2.7850e+05 1.6714e+04
1.9050e+00 2.2397e+05 1.5242e+04
2.1600e+00 1.7796e+05 1.4170e+04
2.4150e+00 1.1459e+05 1.3268e+04
2.6650e+00 7.2224e+04 1.2533e+04
2.9200e+00 8.6488e+04 1.1916e+04
3.0250e+00 4.7124e+04 1.1692e+04
3.1250e+00 3.9907e+04 1.1493e+04
3.2300e+00 5.6828e+04 1.1295e+04
3.3350e+00 3.1411e+04 1.1109e+04
