1.0000e-01 1.1000e+03 2.4362e+05
2.7500e-01 3.4240e+05 1.4199e+05
4.5500e-01 4.7820e+05 1.0322e+05
6.3500e-01 6.5150e+05 7.9271e+04
8.1500e-01 6.9340e+05 6.1911e+04
1.0850e+00 6.1740e+05 4.3485e+04
1.3600e+00 2.0533e+05 3.1710e+04
1.6350e+00 -4.6860e+04 2.5147e+04
1.9050e+00 -1.6910e+05 2.2016e+04
2.1600e+00 -1.3083e+05 2.0492e+04
2.4150e+00 -4.3651e+04 1.9367e+04
2.6650e+00 -5.3140e+03 1.8352e+04
2.9200e+00 -2.6991e+04 1.7402e+04
3.0250e+00 4.8900e+02 1.7046e+04
3.1250e+00 -1.6400e+02 1.6729e+04
3.2300e+00 -1.1375e+04 1.6419e+04
3.3350e+00 -2.5400e+02 1.6133e+04
